id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa,lemma,stem_lemma
315,bad,English (American),WS,word,descriptive_words,predicates,adjectives,bad,64454400,746,bad,bad
316,here,English (American),WS,word,locations,function_words,function_words,here,64454400,746,here,here
317,squirrel,English (American),WS,word,animals,nouns,nouns,squirrel,64540800,747,squirrel,squirrel
318,babysitter's name,English (American),WS,word,people,other,other,babysitter's name,64540800,747,babysitter's name,babysitter's name
319,cockadoodledoo,English (American),WS,word,sounds,other,other,cockadoodledoo,64627200,748,cockadoodledoo,cockadoodledoo
320,zebra,English (American),WS,word,animals,nouns,nouns,zebra,64627200,748,zebra,zebra
321,hold,English (American),WS,word,action_words,predicates,verbs,hold,64627200,748,hold,hold
322,snow,English (American),WS,word,outside,nouns,nouns,snow,64713600,749,snow,snow
323,wanna/want to,English (American),WS,word,helping_verbs,function_words,function_words,wanna,64713600,749,wanna,wanna
324,knife,English (American),WS,word,household,nouns,nouns,knife,64800000,750,knife,knife
